year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl
2012,CV,wpr,Male,2012-6-20,0,0,46.1134,38.0209,3.58,3.84,31.4894,30.7671
2012,CV,wpg,Male,2012-6-20,0,0,46.8308,39.126,3.94,4.01,32.8296,32.0236
2012,CV,gcdb,Male,2012-6-20,0,0,45.0849,37.0515,3.75,3.74,31.5945,31.544
2012,CV,gcf,Male,2012-6-20,1,0,44.3708,36.4597,3.38,3.75,30.423,30.2559
2012,CV,gdbp,Male,2012-6-21,0,0,49.1127,39.9241,3.78,4.2,32.9692,32.2904
2012,CV,gwg,Male,2012-6-21,0,0,47.8226,39.1749,3.66,3.89,32.6781,31.9517
2012,CV,gdbdb,Male,2012-6-21,0,0,45.3324,36.2706,3.85,4,32.6973,31.3898
2012,CV,lbyr,Male,2012-6-21,7,1,47.5444,39.1093,4.06,3.88,32.1333,31.2889
2012,CV,lbrw,Male,2012-6-21,0,1,43.2294,35.7481,3.31,3.65,30.5732,29.6489
2012,CV,clbc,Male,2012-6-28,0,1,45.3183,37.6288,3.46,3.65,30.7659,30.383
2012,CV,clby,Male,2012-6-28,11,1,49.9091,41.3488,3.9,4.11,33.8361,32.9545
2012,CV,cfp,Male,2012-6-28,15,1,46.3445,39.2861,3.3,3.89,31.8363,31.4482
2012,CV,cgw,Male,2012-6-28,0,0,46.1795,38.7316,3.86,3.49,30.655,30.3858
2012,CV,pyp,Male,2012-6-28,27,1,46.6639,38.7358,3.91,3.74,31.7045,30.8186
2012,CV,pyy,Male,2012-6-28,10,1,47.8808,39.7763,3.98,4.05,33.2791,32.3675
2012,CV,prc,Male,2012-6-28,2,1,46.0497,37.8865,3.94,3.87,32.5065,31.7276
2012,CV,prdb,Male,2012-6-29,6,0,48.7856,39.5602,4.14,4.25,32.6413,32.0415
2012,CV,pfc,Male,2012-6-29,0,0,47.7684,38.8185,3.88,4.14,33.4129,32.7333
2012,CV,pfp,Male,2012-6-29,0,0,46.3782,38.087,3.74,3.74,30.4974,29.0912
2012,CV,yyc,Male,2012-6-30,0,1,44.203,36.2439,3.46,3.76,32.1363,31.6853
2012,CV,yrc,Male,2012-6-30,0,1,48.088,39.8222,3.77,3.8,33.8576,33.2796
2012,CV,yyr,Male,2012-6-30,0,1,45.2546,38.0346,3.66,3.72,30.3328,30.0846
2012,CV,yrr,Male,2012-6-30,8,1,47.8613,39.6432,3.69,3.96,34.1859,33.578
2012,CV,dbrw,Male,2012-7-2,2,1,46.884,38.9931,3.6,3.6,32.5392,31.6921
2012,CV,ylbdb,Male,2012-7-2,7,0,45.5803,36.9111,3.67,3.88,31.3209,30.7637
2012,CV,ylbf,Male,2012-7-2,6,0,46.8158,38.4836,4.17,4.19,32.7413,32.0691
2012,CV,rydb,Male,2012-7-4,12,1,43.9254,36.4354,3.82,3.53,30.1046,29.1334
2012,CV,rylb,Male,2012-7-4,4,1,48.2694,39.8874,3.64,3.95,34.1049,33.4937
2012,CV,dbff,Male,2012-7-4,0,0,44.2773,36.5798,3.5,3.59,30.332,29.5953
2012,CV,dblby,Male,2012-7-4,4,0,45.5494,38.1427,3.73,3.49,31.1743,30.6165
2012,CV,dblbf,Male,2012-7-4,4,0,43.8604,36.2422,3.53,3.86,32.1177,31.6592
2012,CV,dbgp,Male,2012-7-4,0,0,43.8302,36.3837,3.62,3.49,31.2474,30.4627
2012,CV,dbgdb,Male,2012-7-4,0,0,44.9565,37.2064,3.53,3.4,31.4773,30.6038
2012,CV,frlb,Male,2012-7-8,0,1,44.5558,36.7943,3.51,3.32,30.09,28.9041
2012,CV,frf,Male,2012-7-8,8,1,46.0228,38.0449,3.84,3.58,32.1033,31.1766
2012,CV,ffc,Male,2012-7-8,1,0,44.2909,36.8512,3.6,3.57,30.3771,29.4783
2012,CV,ffy,Male,2012-7-8,8,0,45.565,37.8509,3.88,3.69,32.3123,31.4924
2012,CV,flby,Male,2012-7-8,0,1,43.2604,35.6544,3.33,3.66,29.4042,28.8328
2012,CV,flbg,Male,2012-7-8,1,1,43.8197,36.3752,3.44,3.33,29.6493,29.1133
2012,CV,fgdb,Male,2012-7-8,20,1,45.4392,37.2832,3.73,3.75,30.3867,30.1364
2012,CV,wyr,Male,2012-7-8,0,1,44.1116,36.42,3.7,3.96,30.6383,29.822
