year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl
2012,CS,wwc,Female,2012-6-19,0,1,44.4149,35.9276,3.68,4.05,33.6394,31.8174
2012,CS,wwp,Female,2012-6-19,2,1,43.1229,34.2822,3.6,3.98,33.9226,32.2436
2012,CS,wwlb,Female,2012-6-19,0,1,43.4342,35.7125,3.72,3.84,30.3661,29.6265
2012,CS,wwf,Female,2012-6-19,0,1,43.8719,35.5029,3.76,3.8,33.3365,31.7334
2012,CS,wwg,Female,2012-6-19,0,1,41.5362,33.4986,3.64,3.77,32.641,31.2308
2012,CS,wdbdb,Female,2012-6-19,0,1,42.7092,34.3938,3.66,3.94,33.761,32.6365
2012,CS,wdblb,Female,2012-6-20,0,0,43.0293,34.9901,3.82,3.76,32.4086,31.1473
2012,CS,wdbg,Female,2012-6-20,0,0,44.6329,34.8382,4.04,4.28,33.8939,32.2888
2012,CS,wpp,Female,2012-6-20,0,0,42.5865,34.3833,3.75,3.85,33.0807,31.0778
2012,CS,gcr,Female,2012-6-20,0,0,43.6311,34.6561,3.59,4,32.0184,31.0472
2012,CS,gwdb,Female,2012-6-20,1,1,43.6551,34.3032,3.7,3.88,32.7241,31.471
2012,CS,cdb_,Female,2012-6-20,1,1,42.3449,34.1459,3.21,3.96,34.0839,33.1459
2012,CS,gwr,Female,2012-6-20,0,1,41.6365,33.632,3.61,3.68,33.0002,31.7184
2012,CS,gdbw,Female,2012-6-21,0,0,43.7474,34.8021,4.31,3.93,33.7694,32.2695
2012,CS,gdbf,Female,2012-6-21,0,1,42.7494,34.0412,3.82,3.61,31.228,30.0984
2012,CS,gdbg,Female,2012-6-21,0,1,43.4118,35.1451,3.77,3.87,33.6859,32.6432
2012,CS,gpc,Female,2012-6-21,0,1,42.401,34.0367,3.64,3.35,31.5651,30.476
2012,CS,gpdb,Female,2012-6-21,0,1,44.1348,35.4537,3.01,3.92,34.3227,33.0138
2012,CS,gpr,Female,2012-6-21,0,1,43.2789,35.1994,4.03,3.97,33.3119,31.2883
2012,CS,gpf,Female,2012-6-21,0,1,43.0206,34.5826,4.01,4.06,33.4331,32.1003
2012,CS,gpg,Female,2012-6-21,0,1,42.4436,34.281,4.03,4.03,34.4446,32.7317
2012,CS,lbyw,Female,2012-6-21,0,1,44.9663,36.4718,3.81,3.66,30.7351,29.5242
2012,CS,lbyy,Female,2012-6-21,0,1,41.6395,33.9269,3.79,3.8,32.4464,31.2115
2012,CS,lbylb,Female,2012-6-21,0,1,41.3051,34.1881,3.55,3.93,33.8346,32.4319
2012,CS,lbrdb,Female,2012-6-21,0,1,42.5095,35.0677,3.93,3.84,32.8407,31.9385
2012,CS,lbfdb,Female,2012-6-26,0,1,42.8987,34.7414,3.87,3.91,33.8566,32.3441
2012,CS,lbfy,Female,2012-6-26,0,1,43.8107,35.2923,3.43,3.71,33.9514,32.1538
2012,CS,lbflb,Female,2012-6-26,0,1,42.1705,34.7802,3.96,3.64,32.1104,31.3052
2012,CS,lbfg,Female,2012-6-26,0,1,43.7054,34.9973,3.85,3.68,32.3656,31.293
2012,CS,lblbr,Female,2012-6-27,0,0,42.0705,34.9346,4.04,4.04,34.268,32.0849
2012,CS,cfy,Female,2012-6-28,0,1,41.3468,34.209,3.65,3.67,32.8075,31.622
2012,CS,crg,Female,2012-6-28,26,1,44.0304,35.7815,4.18,3.9,33.8222,32.0891
2012,CS,crr,Female,2012-6-28,0,1,43.4079,35.7031,3.76,3.89,32.7012,31.6564
2012,CS,clbdb,Female,2012-6-28,0,1,42.3009,34.4657,3.63,3.78,33.3272,31.7401
2012,CS,lbgc,Female,2012-6-28,0,1,43.4336,35.4856,3.67,3.93,32.4902,31.2128
2012,CS,cwdb,Female,2012-6-28,0,1,42.7464,34.7442,3.94,3.91,32.8148,31.3701
2012,CS,cwc,Female,2012-6-28,0,1,42.0022,34.4452,3.8,3.96,33.4551,31.9316
2012,CS,cwr,Female,2012-6-28,0,1,43.0798,35.5528,3.81,3.82,33.3253,31.955
2012,CS,cwg,Female,2012-6-28,1,1,42.8157,35.2705,3.8,3.76,32.1286,30.6728
2012,CS,crlb,Female,2012-6-28,0,1,43.2937,35.2422,3.53,4.06,32.293,30.5527
2012,CS,cflb,Female,2012-6-28,0,1,42.736,34.9359,3.66,4.28,33.2365,32.0018
2012,CS,pyw,Female,2012-6-28,0,1,43.3551,35.0283,4.46,3.85,33.1932,31.3423
2012,CS,pyf,Female,2012-6-28,0,1,41.9474,35.0073,3.74,3.82,32.9103,31.5324
