year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl,fpl,fpw
2011,CS,7_9_csm12,Male,2011-7-9,1,0,47.95,37.59,3.85,3.87,29.25,28.85,17.86,9.69
2011,CS,6_16_csm31,Male,2011-6-16,5,1,47.86,37.72,3.98,4.09,37.6,30.95,17.74,9.73
2011,CS,6_23_csm3,Male,2011-6-23,5,1,44.08,34.68,3.44,3.51,27.87,27.66,14.67,8.92
2011,CS,6_27_csm9,Male,2011-6-27,1,0,45.89,35.87,3.7,3.96,30.18,28.61,18.75,9.77
2011,CS,6_27_csm2,Male,2011-6-27,8,0,46.92,36.79,3.91,3.95,30.19,29.03,15.35,9.69
2011,CS,7_16_csm8,Male,2011-7-16,3,1,45.81,35.68,3.7,3.85,30.06,29,15.44,9.77
2011,CS,7_16_csm15,Male,2011-7-16,4,0,48.73,38.57,3.41,4.26,30.46,29.29,18.23,10.35
2011,CS,7_16_csm14,Male,2011-7-16,4,0,49.55,38.03,3.8,4.01,29.29,28.27,15.42,9.84
2011,CS,7_16_csm23,Male,2011-7-16,11,1,45.21,35.94,3.51,3.63,29.98,28.98,20.53,9.74
2011,CS,7_16_csm19,Male,2011-7-16,2,0,45.5,37.67,3.44,3.94,29.22,27.76,15.36,9.88
2011,CS,6_27_csm19,Male,2011-6-27,3,0,46.11,36.33,3.55,3.75,29.68,27.92,14.89,8.99
2011,CS,7_16_csm4,Male,2011-7-16,4,1,44.86,36.05,3.57,3.84,28.336,27.42,15.78,9.7
2011,CS,7_16_csm7,Male,2011-7-16,11,1,45.15,36.94,3.56,3.78,29.19,27.63,14.9,9.5
2011,CS,6_12_csm5,Male,2011-6-12,4,0,48.38,38.13,4.01,4.02,31.2,29.1,15.4,9.88
2011,CS,6_12_csm4,Male,2011-6-12,5,0,44.42,34.87,3.6,3.56,28.55,28.02,16.71,9.24
2011,CS,6_12_csm29,Male,2011-6-12,4,1,46.01,35.43,3.93,4.13,30.32,29.45,15.39,9.24
2011,CS,6_13_csm2,Male,2011-6-13,14,1,45.01,35.36,3.6,3.9,29.94,28.13,16.78,9.64
2011,CS,6_13_csm10,Male,2011-6-13,8,0,48.09,37.44,3.84,3.93,30.59,30.2,18.64,9.97
2011,CS,6_13_csm8,Male,2011-6-13,1,0,46.13,36.1,3.76,4.04,30.43,29.36,17.06,9.99
2011,CS,7_5_csm7,Male,2011-7-5,5,0,46.04,36.87,3.77,3.8,29.07,27.86,17.03,9.75
2011,CS,7_5_csm5,Male,2011-7-5,5,0,48.65,38.82,4.06,4.08,32.35,30.26,18.83,9.65
2011,CS,6_12_csm11,Male,2011-6-12,1,0,47.26,36.67,3.73,4.02,31.39,29.54,17.08,10.11
2011,CS,6_12_csm25,Male,2011-6-12,1,0,44.86,35.33,3.57,3.78,28.24,27.24,16.35,8.82
